"","gene_id","gene_symbol"
"49","ENSG00000004142.12","POLDIP2"
"50","ENSG00000004399.13","PLXND1"
"51","ENSG00000004455.17","AK2"
"52","ENSG00000004468.13","CD38"
"53","ENSG00000004478.8","FKBP4"
"54","ENSG00000004487.17","KDM1A"
"55","ENSG00000004534.15","RBM6"
"56","ENSG00000004660.15","CAMKK1"
"57","ENSG00000004700.16","RECQL"
"58","ENSG00000004766.17","VPS50"
"59","ENSG00000004776.13","HSPB6"
"60","ENSG00000004777.18","ARHGAP33"
"61","ENSG00000004779.10","NDUFAB1"
"62","ENSG00000004799.8","PDK4"
"63","ENSG00000004809.14","SLC22A16"
"64","ENSG00000004838.14","ZMYND10"
"65","ENSG00000004846.17","ABCB5"
"66","ENSG00000004848.8","ARX"
"67","ENSG00000004864.14","SLC25A13"
"68","ENSG00000004866.22","ST7"
"69","ENSG00000004897.12","CDC27"
"70","ENSG00000004939.16","SLC4A1"
"71","ENSG00000004948.16","CALCR"
"72","ENSG00000004961.15","HCCS"
"73","ENSG00000004975.12","DVL2"
"74","ENSG00000005001.10","PRSS22"
"75","ENSG00000005007.13","UPF1"
"76","ENSG00000005020.13","SKAP2"
"77","ENSG00000005022.6","SLC25A5"
"78","ENSG00000005059.16","MCUB"
"79","ENSG00000005073.6","HOXA11"
"80","ENSG00000005075.15","POLR2J"
"81","ENSG00000005100.13","DHX33"
"82","ENSG00000005102.14","MEOX1"
"83","ENSG00000005108.16","THSD7A"
"84","ENSG00000005156.12","LIG3"
"85","ENSG00000005175.10","RPAP3"
"86","ENSG00000005187.12","ACSM3"
"87","ENSG00000005189.20","REXO5"
"88","ENSG00000005194.15","CIAPIN1"
"89","ENSG00000005206.17","SPPL2B"
"90","ENSG00000005238.20","FAM214B"
"91","ENSG00000005243.10","COPZ2"
"92","ENSG00000005249.13","PRKAR2B"
"93","ENSG00000005302.19","MSL3"
"94","ENSG00000005339.15","CREBBP"
"95","ENSG00000005379.17","TSPOAP1"
"96","ENSG00000005381.8","MPO"
"97","ENSG00000005421.9","PON1"
"98","ENSG00000005436.14","GCFC2"
"99","ENSG00000005448.17","WDR54"
"100","ENSG00000005469.12","CROT"
"101","ENSG00000005471.19","ABCB4"
"102","ENSG00000005483.21","KMT2E"
"103","ENSG00000005486.17","RHBDD2"
"104","ENSG00000005513.10","SOX8"
"105","ENSG00000005700.15","IBTK"
"106","ENSG00000005801.18","ZNF195"
"107","ENSG00000005810.19","MYCBP2"
"108","ENSG00000005812.11","FBXL3"
"109","ENSG00000005844.19","ITGAL"
"110","ENSG00000005882.12","PDK2"
"111","ENSG00000005884.18","ITGA3"
"112","ENSG00000005889.16","ZFX"
"113","ENSG00000005893.16","LAMP2"
"114","ENSG00000005961.19","ITGA2B"
"115","ENSG00000005981.13","ASB4"
"116","ENSG00000006007.12","GDE1"
"117","ENSG00000006015.18","REX1BD"
"118","ENSG00000006016.12","CRLF1"
"119","ENSG00000006025.12","OSBPL7"
"120","ENSG00000006042.12","TMEM98"
"121","ENSG00000006047.13","YBX2"
"122","ENSG00000006059.4","KRT33A"
"123","ENSG00000006062.18","MAP3K14"
"124","ENSG00000006071.16","ABCC8"
"125","ENSG00000006116.4","CACNG3"
"126","ENSG00000006118.15","TMEM132A"
"127","ENSG00000006125.18","AP2B1"
"128","ENSG00000006128.12","TAC1"
"129","ENSG00000006194.10","ZNF263"
"130","ENSG00000006210.7","CX3CL1"
"131","ENSG00000006282.21","SPATA20"
"132","ENSG00000006283.18","CACNA1G"
"133","ENSG00000006327.14","TNFRSF12A"
"134","ENSG00000006377.11","DLX6"
"135","ENSG00000006432.16","MAP3K9"
"136","ENSG00000006451.8","RALA"
"137","ENSG00000006453.14","BAIAP2L1"
"138","ENSG00000006459.11","KDM7A"
"139","ENSG00000006468.14","ETV1"
"140","ENSG00000006530.18","AGK"
"141","ENSG00000006534.16","ALDH3B1"
"142","ENSG00000006555.11","TTC22"
"143","ENSG00000006576.16","PHTF2"
"144","ENSG00000006606.9","CCL26"
"145","ENSG00000006607.14","FARP2"
"146","ENSG00000006611.17","USH1C"
"147","ENSG00000006625.18","GGCT"
"148","ENSG00000006634.8","DBF4"
"149","ENSG00000006638.13","TBXA2R"
"150","ENSG00000006652.15","IFRD1"
"151","ENSG00000006659.13","LGALS14"
"152","ENSG00000006695.12","COX10"
"153","ENSG00000006704.11","GTF2IRD1"
"154","ENSG00000006712.15","PAF1"
"155","ENSG00000006715.16","VPS41"
"156","ENSG00000006740.17","ARHGAP44"
"157","ENSG00000006744.19","ELAC2"
"158","ENSG00000006747.15","SCIN"
"159","ENSG00000006756.16","ARSD"
"160","ENSG00000006757.12","PNPLA4"
"161","ENSG00000006788.14","MYH13"
"162","ENSG00000006831.10","ADIPOR2"
"163","ENSG00000006837.12","CDKL3"
"164","ENSG00000007001.13","UPP2"
"165","ENSG00000007038.11","PRSS21"
"166","ENSG00000007047.15","MARK4"
"167","ENSG00000007062.12","PROM1"
"168","ENSG00000007080.11","CCDC124"
"169","ENSG00000007129.18","CEACAM21"
"170","ENSG00000007168.14","PAFAH1B1"
"171","ENSG00000007171.18","NOS2"
"172","ENSG00000007174.18","DNAH9"
"173","ENSG00000007202.15","KIAA0100"
"174","ENSG00000007216.15","SLC13A2"
"175","ENSG00000007237.19","GAS7"
"176","ENSG00000007255.10","TRAPPC6A"
"177","ENSG00000007264.15","MATK"
"178","ENSG00000007306.15","CEACAM7"
"179","ENSG00000007312.13","CD79B"
"180","ENSG00000007314.12","SCN4A"
"181","ENSG00000007341.19","ST7L"
"182","ENSG00000007350.17","TKTL1"
"183","ENSG00000007372.24","PAX6"
"184","ENSG00000007376.8","RPUSD1"
"185","ENSG00000007384.15","RHBDF1"
"186","ENSG00000007392.17","LUC7L"
"187","ENSG00000007402.12","CACNA2D2"
"188","ENSG00000007516.14","BAIAP3"
"189","ENSG00000007520.4","TSR3"
"190","ENSG00000007541.17","PIGQ"
"191","ENSG00000007545.16","CRAMP1"
"192","ENSG00000007866.22","TEAD3"
"193","ENSG00000007908.16","SELE"
"194","ENSG00000007923.16","DNAJC11"
"195","ENSG00000007933.13","FMO3"
"196","ENSG00000007944.15","MYLIP"
"197","ENSG00000007952.18","NOX1"
"198","ENSG00000007968.7","E2F2"
"199","ENSG00000008018.9","PSMB1"
"200","ENSG00000008056.14","SYN1"
"201","ENSG00000008083.14","JARID2"
"202","ENSG00000008086.13","CDKL5"
"203","ENSG00000008118.10","CAMK1G"
"204","ENSG00000008128.23","CDK11A"
"205","ENSG00000008130.15","NADK"
"206","ENSG00000008196.13","TFAP2B"
"207","ENSG00000008197.5","TFAP2D"
"208","ENSG00000008226.20","DLEC1"
"209","ENSG00000008256.16","CYTH3"
"210","ENSG00000008277.15","ADAM22"
"211","ENSG00000008282.9","SYPL1"
"212","ENSG00000008283.16","CYB561"
"213","ENSG00000008294.21","SPAG9"
"214","ENSG00000008300.17","CELSR3"
"215","ENSG00000008311.16","AASS"
"216","ENSG00000008323.16","PLEKHG6"
"217","ENSG00000008324.12","SS18L2"
"218","ENSG00000008382.16","MPND"
"219","ENSG00000008394.13","MGST1"
"220","ENSG00000008405.12","CRY1"
"221","ENSG00000008438.5","PGLYRP1"
"222","ENSG00000008441.18","NFIX"
"223","ENSG00000008513.16","ST3GAL1"
"224","ENSG00000008516.18","MMP25"
"225","ENSG00000008517.19","IL32"
"226","ENSG00000008710.20","PKD1"
"227","ENSG00000008735.14","MAPK8IP2"
"228","ENSG00000008838.20","MED24"
"229","ENSG00000008853.17","RHOBTB2"
"230","ENSG00000008869.12","HEATR5B"
"231","ENSG00000008952.17","SEC62"
"232","ENSG00000008988.11","RPS20"
"233","ENSG00000009307.16","CSDE1"
"234","ENSG00000009335.18","UBE3C"
"235","ENSG00000009413.16","REV3L"
"236","ENSG00000009694.13","TENM1"
"237","ENSG00000009709.12","PAX7"
"238","ENSG00000009724.17","MASP2"
"239","ENSG00000009765.15","IYD"
"240","ENSG00000009780.16","FAM76A"
"241","ENSG00000009790.15","TRAF3IP3"
"242","ENSG00000009830.13","POMT2"
"243","ENSG00000009844.16","VTA1"
"244","ENSG00000009950.16","MLXIPL"
"245","ENSG00000009954.11","BAZ1B"
"246","ENSG00000010017.13","RANBP9"
"247","ENSG00000010030.14","ETV7"
"248","ENSG00000010072.16","SPRTN"
"249","ENSG00000010165.20","EEF1AKNMT"
"250","ENSG00000010219.13","DYRK4"
"251","ENSG00000010244.19","ZNF207"
"252","ENSG00000010256.11","UQCRC1"
"253","ENSG00000010270.14","STARD3NL"
"254","ENSG00000010278.15","CD9"
"255","ENSG00000010282.15","HHATL"
"256","ENSG00000010292.13","NCAPD2"
"257","ENSG00000010295.20","IFFO1"
"258","ENSG00000010310.9","GIPR"
"259","ENSG00000010318.21","PHF7"
"260","ENSG00000010319.7","SEMA3G"
"261","ENSG00000010322.16","NISCH"
"262","ENSG00000010327.10","STAB1"
"263","ENSG00000010361.14","FUZ"
"264","ENSG00000010379.16","SLC6A13"
"265","ENSG00000010404.18","IDS"
"266","ENSG00000010438.17","PRSS3"
"267","ENSG00000010539.12","ZNF200"
"268","ENSG00000010610.10","CD4"
"269","ENSG00000010626.15","LRRC23"
"270","ENSG00000010671.16","BTK"
"271","ENSG00000010704.19","HFE"
"272","ENSG00000010803.16","SCMH1"
"273","ENSG00000010810.17","FYN"
"274","ENSG00000010818.10","HIVEP2"
"275","ENSG00000010932.17","FMO1"
"276","ENSG00000011007.12","ELOA"
"277","ENSG00000011009.11","LYPLA2"
"278","ENSG00000011021.23","CLCN6"
"279","ENSG00000011028.14","MRC2"
"280","ENSG00000011052.21","NME1-NME2"
"281","ENSG00000011083.9","SLC6A7"
"282","ENSG00000011105.14","TSPAN9"
"283","ENSG00000011114.15","BTBD7"
"284","ENSG00000011132.12","APBA3"
"285","ENSG00000011143.19","MKS1"
"286","ENSG00000011198.10","ABHD5"
"287","ENSG00000011201.12","ANOS1"
"288","ENSG00000011243.19","AKAP8L"
"289","ENSG00000011258.16","MBTD1"
"290","ENSG00000011260.14","UTP18"
"291","ENSG00000011275.19","RNF216"
"292","ENSG00000011295.16","TTC19"
"293","ENSG00000011304.22","PTBP1"
"294","ENSG00000011332.21","DPF1"
"295","ENSG00000011347.10","SYT7"
"296","ENSG00000011376.12","LARS2"
"297","ENSG00000011405.13","PIK3C2A"
"298","ENSG00000011422.12","PLAUR"
"299","ENSG00000011426.11","ANLN"
"300","ENSG00000011451.21","WIZ"
"301","ENSG00000011454.18","RABGAP1"
"302","ENSG00000011465.18","DCN"
"303","ENSG00000011478.13","QPCTL"
"304","ENSG00000011485.15","PPP5C"
"305","ENSG00000011523.14","CEP68"
"306","ENSG00000011566.15","MAP4K3"
"307","ENSG00000011590.14","ZBTB32"
"308","ENSG00000011600.12","TYROBP"
"309","ENSG00000011638.11","TMEM159"
"310","ENSG00000011677.13","GABRA3"
"311","ENSG00000012048.23","BRCA1"
"312","ENSG00000012061.16","ERCC1"
"313","ENSG00000012124.17","CD22"
"314","ENSG00000012171.20","SEMA3B"
"315","ENSG00000012174.12","MBTPS2"
"316","ENSG00000012211.13","PRICKLE3"
"317","ENSG00000012223.13","LTF"
"318","ENSG00000012232.9","EXTL3"
"319","ENSG00000012504.15","NR1H4"
"320","ENSG00000012660.14","ELOVL5"
"321","ENSG00000012779.11","ALOX5"
"322","ENSG00000012817.16","KDM5D"
"323","ENSG00000012822.16","CALCOCO1"
"324","ENSG00000012963.15","UBR7"
"325","ENSG00000012983.12","MAP4K5"
"326","ENSG00000013016.16","EHD3"
"327","ENSG00000013275.8","PSMC4"
"328","ENSG00000013288.9","MAN2B2"
"329","ENSG00000013293.6","SLC7A14"
"330","ENSG00000013297.12","CLDN11"
"331","ENSG00000013306.16","SLC25A39"
"332","ENSG00000013364.19","MVP"
"333","ENSG00000013374.17","NUB1"
"334","ENSG00000013375.16","PGM3"
"335","ENSG00000013392.8","RWDD2A"
"336","ENSG00000013441.16","CLK1"
"337","ENSG00000013503.10","POLR3B"
"338","ENSG00000013523.11","ANGEL1"
"339","ENSG00000013561.18","RNF14"
"340","ENSG00000013563.14","DNASE1L1"
"341","ENSG00000013573.17","DDX11"
"342","ENSG00000013583.10","HEBP1"
"343","ENSG00000013588.9","GPRC5A"
"344","ENSG00000013619.15","MAMLD1"
"345","ENSG00000013725.14","CD6"
"346","ENSG00000013810.21","TACC3"
"347","ENSG00000014123.10","UFL1"
"348","ENSG00000014138.9","POLA2"
"349","ENSG00000014164.7","ZC3H3"
"350","ENSG00000014216.16","CAPN1"
"351","ENSG00000014257.16","ACP3"
"352","ENSG00000014641.21","MDH1"
"353","ENSG00000014824.14","SLC30A9"
"354","ENSG00000014914.21","MTMR11"
"355","ENSG00000014919.13","COX15"
"356","ENSG00000015133.19","CCDC88C"
"357","ENSG00000015153.15","YAF2"
"358","ENSG00000015171.20","ZMYND11"
"359","ENSG00000015285.11","WAS"
"360","ENSG00000015413.9","DPEP1"
"361","ENSG00000015475.19","BID"
"362","ENSG00000015479.20","MATR3"
"363","ENSG00000015520.15","NPC1L1"
"364","ENSG00000015532.10","XYLT2"
"365","ENSG00000015568.13","RGPD5"
"366","ENSG00000015592.16","STMN4"
"367","ENSG00000015676.18","NUDCD3"
"368","ENSG00000016082.15","ISL1"
"369","ENSG00000016391.11","CHDH"
"370","ENSG00000016402.14","IL20RA"
"371","ENSG00000016490.16","CLCA1"
"372","ENSG00000016602.9","CLCA4"
"373","ENSG00000016864.19","GLT8D1"
"374","ENSG00000017260.20","ATP2C1"
"375","ENSG00000017427.17","IGF1"
"376","ENSG00000017483.15","SLC38A5"
"377","ENSG00000017797.13","RALBP1"
"378","ENSG00000018189.13","RUFY3"
"379","ENSG00000018236.15","CNTN1"
"380","ENSG00000018280.17","SLC11A1"
"381","ENSG00000018408.15","WWTR1"
"382","ENSG00000018510.18","AGPS"
"383","ENSG00000018607.7","ZNF806"
"384","ENSG00000018610.15","STEEP1"
"385","ENSG00000018625.15","ATP1A2"
"386","ENSG00000018699.13","TTC27"
"387","ENSG00000018869.17","ZNF582"
"388","ENSG00000019102.12","VSIG2"
"389","ENSG00000019144.19","PHLDB1"
"390","ENSG00000019169.11","MARCO"
"391","ENSG00000019186.10","CYP24A1"
"392","ENSG00000019485.14","PRDM11"
"393","ENSG00000019505.8","SYT13"
"394","ENSG00000019549.13","SNAI2"
"395","ENSG00000019582.16","CD74"
"396","ENSG00000019991.18","HGF"
"397","ENSG00000019995.6","ZRANB1"
"398","ENSG00000020129.16","NCDN"
"399","ENSG00000020181.18","ADGRA2"
"400","ENSG00000020219.9","CCT8L1P"
"401","ENSG00000020256.20","ZFP64"
"402","ENSG00000020426.11","MNAT1"
"403","ENSG00000020577.14","SAMD4A"
"404","ENSG00000020633.19","RUNX3"
"405","ENSG00000020922.13","MRE11"
"406","ENSG00000021300.14","PLEKHB1"
"407","ENSG00000021355.13","SERPINB1"
"408","ENSG00000021461.17","CYP3A43"
"409","ENSG00000021488.13","SLC7A9"
"410","ENSG00000021574.13","SPAST"
"411","ENSG00000021645.20","NRXN3"
"412","ENSG00000021762.20","OSBPL5"
"413","ENSG00000021776.11","AQR"
"414","ENSG00000021826.17","CPS1"
"415","ENSG00000021852.13","C8B"
"416","ENSG00000022267.19","FHL1"
"417","ENSG00000022277.13","RTF2"
"418","ENSG00000022355.18","GABRA1"
"419","ENSG00000022556.16","NLRP2"
"420","ENSG00000022567.10","SLC45A4"
"421","ENSG00000022840.17","RNF10"
"422","ENSG00000022976.16","ZNF839"
"423","ENSG00000023041.12","ZDHHC6"
"424","ENSG00000023171.19","GRAMD1B"
"425","ENSG00000023191.17","RNH1"
"426","ENSG00000023228.14","NDUFS1"
"427","ENSG00000023287.13","RB1CC1"
"428","ENSG00000023318.8","ERP44"
"429","ENSG00000023330.15","ALAS1"
"430","ENSG00000023445.16","BIRC3"
"431","ENSG00000023516.9","AKAP11"
"432","ENSG00000023572.10","GLRX2"
"433","ENSG00000023608.5","SNAPC1"
"434","ENSG00000023697.13","DERA"
"435","ENSG00000023734.11","STRAP"
"436","ENSG00000023839.12","ABCC2"
"437","ENSG00000023892.11","DEF6"
"438","ENSG00000023902.14","PLEKHO1"
"439","ENSG00000023909.10","GCLM"
"440","ENSG00000024048.11","UBR2"
"441","ENSG00000024422.12","EHD2"
"442","ENSG00000024526.17","DEPDC1"
"443","ENSG00000024862.18","CCDC28A"
"444","ENSG00000025039.15","RRAGD"
"445","ENSG00000025156.13","HSF2"
"446","ENSG00000025293.17","PHF20"
"447","ENSG00000025423.11","HSD17B6"
"448","ENSG00000025434.19","NR1H3"
"449","ENSG00000025708.14","TYMP"
"450","ENSG00000025770.19","NCAPH2"
"451","ENSG00000025772.8","TOMM34"
"452","ENSG00000025796.14","SEC63"
"453","ENSG00000025800.14","KPNA6"
"454","ENSG00000026025.16","VIM"
"455","ENSG00000026036.22","RTEL1-TNFRSF6B"
"456","ENSG00000026103.22","FAS"
"457","ENSG00000026297.17","RNASET2"
"458","ENSG00000026508.20","CD44"
"459","ENSG00000026559.14","KCNG1"
"460","ENSG00000026652.15","AGPAT4"
"461","ENSG00000026751.17","SLAMF7"
"462","ENSG00000026950.17","BTN3A1"
"463","ENSG00000027001.10","MIPEP"
"464","ENSG00000027075.16","PRKCH"
"465","ENSG00000027644.5","INSRR"
"466","ENSG00000027697.15","IFNGR1"
"467","ENSG00000027847.14","B4GALT7"
"468","ENSG00000027869.12","SH2D2A"
"469","ENSG00000028116.18","VRK2"
"470","ENSG00000028137.19","TNFRSF1B"
"471","ENSG00000028203.18","VEZT"
"472","ENSG00000028277.21","POU2F2"
"473","ENSG00000028310.18","BRD9"
"474","ENSG00000028528.15","SNX1"
"475","ENSG00000028839.10","TBPL1"
"476","ENSG00000029153.14","ARNTL2"
"477","ENSG00000029363.17","BCLAF1"
"478","ENSG00000029364.12","SLC39A9"
"479","ENSG00000029534.21","ANK1"
"480","ENSG00000029559.7","IBSP"
"481","ENSG00000029639.11","TFB1M"
"482","ENSG00000029725.17","RABEP1"
"483","ENSG00000029993.15","HMGB3"
"484","ENSG00000030066.13","NUP160"
"485","ENSG00000030110.13","BAK1"
"486","ENSG00000030304.14","MUSK"
"487","ENSG00000030419.17","IKZF2"
"488","ENSG00000030582.18","GRN"
"489","ENSG00000031003.10","FAM13B"
"490","ENSG00000031081.11","ARHGAP31"
"491","ENSG00000031691.7","CENPQ"
"492","ENSG00000031698.13","SARS1"
"493","ENSG00000031823.14","RANBP3"
"494","ENSG00000032219.19","ARID4A"
"495","ENSG00000032389.13","EIPR1"
"496","ENSG00000032444.17","PNPLA6"
"497","ENSG00000032742.18","IFT88"
"498","ENSG00000033011.14","ALG1"
"499","ENSG00000033030.15","ZCCHC8"
"500","ENSG00000033050.9","ABCF2"
"501","ENSG00000033100.16","CHPF2"
"502","ENSG00000033122.21","LRRC7"
"503","ENSG00000033170.17","FUT8"
"504","ENSG00000033178.13","UBA6"
"505","ENSG00000033327.13","GAB2"
"506","ENSG00000033627.17","ATP6V0A1"
"507","ENSG00000033800.14","PIAS1"
"508","ENSG00000033867.16","SLC4A7"
"509","ENSG00000034053.15","APBA2"
"510","ENSG00000034152.19","MAP2K3"
"511","ENSG00000034239.11","EFCAB1"
"512","ENSG00000034510.6","TMSB10"
"513","ENSG00000034533.12","ASTE1"
"514","ENSG00000034677.13","RNF19A"
"515","ENSG00000034693.15","PEX3"
"516","ENSG00000034713.8","GABARAPL2"
"517","ENSG00000034971.17","MYOC"
"518","ENSG00000035115.22","SH3YL1"
"519","ENSG00000035141.8","FAM136A"
"520","ENSG00000035403.18","VCL"
"521","ENSG00000035499.13","DEPDC1B"
"522","ENSG00000035664.11","DAPK2"
"523","ENSG00000035681.9","NSMAF"
"524","ENSG00000035687.10","ADSS2"
"525","ENSG00000035720.8","STAP1"
"526","ENSG00000035862.12","TIMP2"
"527","ENSG00000035928.16","RFC1"
"528","ENSG00000036054.13","TBC1D23"
"529","ENSG00000036257.13","CUL3"
"530","ENSG00000036448.10","MYOM2"
"531","ENSG00000036473.8","OTC"
"532","ENSG00000036530.9","CYP46A1"
"533","ENSG00000036549.13","ZZZ3"
"534","ENSG00000036565.15","SLC18A1"
"535","ENSG00000036672.16","USP2"
"536","ENSG00000036828.17","CASR"
"537","ENSG00000037042.9","TUBG2"
"538","ENSG00000037241.7","RPL26L1"
"539","ENSG00000037280.16","FLT4"
"540","ENSG00000037474.15","NSUN2"
"541","ENSG00000037637.11","FBXO42"
"542","ENSG00000037749.13","MFAP3"
"543","ENSG00000037757.14","MRI1"
"544","ENSG00000037897.17","METTL1"
"545","ENSG00000037965.6","HOXC8"
"546","ENSG00000038002.9","AGA"
"547","ENSG00000038210.14","PI4K2B"
"548","ENSG00000038219.13","BOD1L1"
"549","ENSG00000038274.17","MAT2B"
"550","ENSG00000038295.8","TLL1"
"551","ENSG00000038358.15","EDC4"
"552","ENSG00000038382.20","TRIO"
"553","ENSG00000038427.16","VCAN"
"554","ENSG00000038532.16","CLEC16A"
"555","ENSG00000038945.15","MSR1"
"556","ENSG00000039068.20","CDH1"
"557","ENSG00000039123.16","MTREX"
"558","ENSG00000039139.11","DNAH5"
"559","ENSG00000039319.17","ZFYVE16"
"560","ENSG00000039523.20","RIPOR1"
"561","ENSG00000039537.14","C6"
"562","ENSG00000039560.14","RAI14"
"563","ENSG00000039600.11","SOX30"
"564","ENSG00000039650.12","PNKP"
"565","ENSG00000039987.7","BEST2"
"566","ENSG00000040199.18","PHLPP2"
"567","ENSG00000040275.17","SPDL1"
"568","ENSG00000040341.18","STAU2"
"569","ENSG00000040487.13","SLC66A1"
"570","ENSG00000040531.16","CTNS"
"571","ENSG00000040608.14","RTN4R"
"572","ENSG00000040633.13","PHF23"
"573","ENSG00000040731.10","CDH10"
"574","ENSG00000040933.16","INPP4A"
"575","ENSG00000041353.10","RAB27B"
"576","ENSG00000041357.16","PSMA4"
"577","ENSG00000041515.16","MYO16"
"578","ENSG00000041802.11","LSG1"
"579","ENSG00000041880.15","PARP3"
"580","ENSG00000041982.16","TNC"
"581","ENSG00000041988.15","THAP3"
"582","ENSG00000042062.13","RIPOR3"
"583","ENSG00000042088.14","TDP1"
"584","ENSG00000042286.15","AIFM2"
"585","ENSG00000042304.13","C2orf83"
"586","ENSG00000042317.17","SPATA7"
"587","ENSG00000042429.12","MED17"
"588","ENSG00000042445.14","RETSAT"
"589","ENSG00000042493.16","CAPG"
"590","ENSG00000042753.12","AP2S1"
"591","ENSG00000042781.14","USH2A"
"592","ENSG00000042813.8","ZPBP"
"593","ENSG00000042832.12","TG"
"594","ENSG00000042980.13","ADAM28"
"595","ENSG00000043039.7","BARX2"
"596","ENSG00000043093.15","DCUN1D1"
"597","ENSG00000043143.22","JADE2"
"598","ENSG00000043355.12","ZIC2"
"599","ENSG00000043462.13","LCP2"
"600","ENSG00000043514.17","TRIT1"
"601","ENSG00000043591.6","ADRB1"
"602","ENSG00000044012.4","GUCA2B"
"603","ENSG00000044090.12","CUL7"
"604","ENSG00000044115.21","CTNNA1"
"605","ENSG00000044446.12","PHKA2"
"606","ENSG00000044459.15","CNTLN"
"607","ENSG00000044524.11","EPHA3"
"608","ENSG00000044574.9","HSPA5"
"609","ENSG00000046604.14","DSG2"
"610","ENSG00000046647.14","GEMIN8"
"611","ENSG00000046651.16","OFD1"
"612","ENSG00000046653.15","GPM6B"
"613","ENSG00000046774.10","MAGEC2"
"614","ENSG00000046889.19","PREX2"
"615","ENSG00000047056.16","WDR37"
"616","ENSG00000047188.16","YTHDC2"
"617","ENSG00000047230.15","CTPS2"
"618","ENSG00000047249.18","ATP6V1H"
"619","ENSG00000047315.17","POLR2B"
"620","ENSG00000047346.13","FAM214A"
"621","ENSG00000047365.12","ARAP2"
"622","ENSG00000047410.14","TPR"
"623","ENSG00000047457.14","CP"
"624","ENSG00000047578.13","KATNIP"
"625","ENSG00000047579.20","DTNBP1"
"626","ENSG00000047597.7","XK"
"627","ENSG00000047617.16","ANO2"
"628","ENSG00000047621.12","C12orf4"
"629","ENSG00000047634.15","SCML1"
"630","ENSG00000047644.19","WWC3"
"631","ENSG00000047648.23","ARHGAP6"
"632","ENSG00000047662.5","FAM184B"
"633","ENSG00000047849.22","MAP4"
"634","ENSG00000047932.14","GOPC"
"635","ENSG00000047936.11","ROS1"
"636","ENSG00000048028.11","USP28"
"637","ENSG00000048052.23","HDAC9"
"638","ENSG00000048140.18","TSPAN17"
"639","ENSG00000048162.21","NOP16"
"640","ENSG00000048342.18","CC2D2A"
"641","ENSG00000048392.12","RRM2B"
"642","ENSG00000048405.10","ZNF800"
"643","ENSG00000048462.11","TNFRSF17"
"644","ENSG00000048471.14","SNX29"
"645","ENSG00000048540.15","LMO3"
"646","ENSG00000048544.6","MRPS10"
"647","ENSG00000048545.17","GUCA1A"
"648","ENSG00000048649.14","RSF1"
"649","ENSG00000048707.15","VPS13D"
"650","ENSG00000048740.18","CELF2"
"651","ENSG00000048828.17","FAM120A"
"652","ENSG00000048991.17","R3HDM1"
"653","ENSG00000049089.15","COL9A2"
"654","ENSG00000049130.16","KITLG"
"655","ENSG00000049167.16","ERCC8"
"656","ENSG00000049192.15","ADAMTS6"
"657","ENSG00000049239.13","H6PD"
"658","ENSG00000049245.13","VAMP3"
"659","ENSG00000049246.15","PER3"
"660","ENSG00000049247.14","UTS2"
"661","ENSG00000049249.9","TNFRSF9"
"662","ENSG00000049283.18","EPN3"
"663","ENSG00000049323.16","LTBP1"
"664","ENSG00000049449.10","RCN1"
"665","ENSG00000049540.18","ELN"
"666","ENSG00000049541.11","RFC2"
"667","ENSG00000049618.24","ARID1B"
"668","ENSG00000049656.14","CLPTM1L"
"669","ENSG00000049759.20","NEDD4L"
